# 2023-04-06, 16:14:34.271132
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0
0.000000000,0.492115424
0.100000000,0.466408194
0.200000000,0.430418072
0.300000000,0.440700964
0.400000000,0.440700964
0.500000000,0.409852288
0.600000000,0.394427950
0.700000000,0.414993734
0.800000000,0.384145058
0.900000000,0.384145058
1.000000000,0.394427950
1.100000000,0.404710842
1.200000000,0.394427950
1.300000000,0.425276626
1.400000000,0.440700964
1.500000000,0.420135180
1.600000000,0.425276626
1.700000000,0.450983856
1.800000000,0.430418072
1.900000000,0.435559518
2.000000000,0.450983856
2.100000000,0.456125302
2.200000000,0.440700964
2.300000000,0.456125302
2.400000000,0.461266748
2.500000000,0.435559518
2.600000000,0.373862166
2.700000000,0.327589152
2.800000000,0.307023368
2.900000000,0.312164814
3.000000000,0.312164814
3.100000000,0.327589152
3.200000000,0.312164814
3.300000000,0.343013490
3.400000000,0.327589152
3.500000000,0.307023368
3.600000000,0.312164814
3.700000000,0.327589152
3.800000000,0.332730598
3.900000000,0.317306260
4.000000000,0.317306260
4.100000000,0.337872044
4.200000000,0.343013490
4.300000000,0.337872044
4.400000000,0.327589152
4.500000000,0.343013490
4.600000000,0.322447706
4.700000000,0.332730598
4.800000000,0.317306260
4.900000000,0.337872044
5.000000000,0.317306260
5.100000000,0.343013490
5.200000000,0.343013490
5.300000000,0.343013490
5.400000000,0.322447706
5.500000000,0.337872044
5.600000000,0.312164814
5.700000000,0.337872044
5.800000000,0.312164814
5.900000000,0.322447706
6.000000000,0.317306260
6.100000000,0.307023368
6.200000000,0.312164814
6.300000000,0.296740476
6.400000000,0.317306260
6.500000000,0.317306260
6.600000000,0.291599030
6.700000000,0.286457584
6.800000000,0.301881922
6.900000000,0.296740476
7.000000000,0.296740476
7.100000000,0.296740476
7.200000000,0.301881922
7.300000000,0.281316138
7.400000000,0.291599030
7.500000000,0.281316138
7.600000000,0.286457584
7.700000000,0.281316138
7.800000000,0.291599030
7.900000000,0.271033246
8.000000000,0.286457584
8.100000000,0.265891800
8.200000000,0.276174692
8.300000000,0.286457584
8.400000000,0.286457584
8.500000000,0.265891800
8.600000000,0.265891800
8.700000000,0.301881922
8.800000000,0.281316138
8.900000000,0.271033246
9.000000000,0.281316138
9.100000000,0.281316138
9.200000000,0.276174692
9.300000000,0.312164814
9.400000000,0.291599030
9.500000000,0.301881922
9.600000000,0.312164814
9.700000000,0.317306260
9.800000000,0.296740476
9.900000000,0.307023368
10.000000000,0.317306260
10.100000000,0.307023368
10.200000000,0.307023368
10.300000000,0.307023368
10.400000000,0.307023368
10.500000000,0.332730598
10.600000000,0.327589152
10.700000000,0.322447706
10.800000000,0.332730598
10.900000000,0.317306260
11.000000000,0.317306260
11.100000000,0.327589152
11.200000000,0.327589152
11.300000000,0.301881922
11.400000000,0.296740476
11.500000000,0.322447706
11.600000000,0.322447706
11.700000000,0.312164814
11.800000000,0.317306260
11.900000000,0.312164814
12.000000000,0.312164814
12.100000000,0.281316138
12.200000000,0.301881922
12.300000000,0.312164814
12.400000000,0.307023368
12.500000000,0.281316138
12.600000000,0.296740476
12.700000000,0.265891800
12.800000000,0.271033246
12.900000000,0.260750354
13.000000000,0.286457584
13.100000000,0.260750354
13.200000000,0.255608908
13.300000000,0.276174692
13.400000000,0.281316138
13.500000000,0.281316138
13.600000000,0.276174692
13.700000000,0.260750354
13.800000000,0.255608908
13.900000000,0.255608908
14.000000000,0.271033246
14.100000000,0.265891800
14.200000000,0.265891800
14.300000000,0.271033246
14.400000000,0.276174692
14.500000000,0.271033246
14.600000000,0.271033246
14.700000000,0.296740476
14.800000000,0.301881922
14.900000000,0.312164814
15.000000000,0.291599030
15.100000000,0.281316138
15.200000000,0.301881922
15.300000000,0.265891800
15.400000000,0.276174692
15.500000000,0.276174692
15.600000000,0.286457584
15.700000000,0.286457584
15.800000000,0.255608908
15.900000000,0.271033246
16.000000000,0.281316138
16.100000000,0.286457584
16.200000000,0.271033246
16.300000000,0.265891800
16.400000000,0.281316138
16.500000000,0.291599030
16.600000000,0.271033246
16.700000000,0.286457584
16.800000000,0.250467462
16.900000000,0.265891800
17.000000000,0.271033246
17.100000000,0.271033246
17.200000000,0.260750354
17.300000000,0.265891800
17.400000000,0.255608908
17.500000000,0.271033246
17.600000000,0.281316138
17.700000000,0.260750354
17.800000000,0.250467462
17.900000000,0.224760232
18.000000000,0.245326016
18.100000000,0.235043124
18.200000000,0.235043124
18.300000000,0.245326016
18.400000000,0.235043124
18.500000000,0.235043124
18.600000000,0.271033246
18.700000000,0.235043124
18.800000000,0.245326016
18.900000000,0.214477340
19.000000000,0.235043124
19.100000000,0.245326016
19.200000000,0.240184570
19.300000000,0.240184570
19.400000000,0.245326016
19.500000000,0.229901678
19.600000000,0.240184570
19.700000000,0.255608908
19.800000000,0.229901678
19.900000000,0.235043124
