# 2023-04-06, 16:18:09.277322
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,0.522964100,-0.011586912
0.100000000,0.522964100,-0.006446144
0.200000000,0.517822654,-0.011586912
0.300000000,0.517822654,-0.006446144
0.400000000,0.517822654,-0.006446144
0.500000000,0.512681208,-0.006446144
0.600000000,0.522964100,-0.006446144
0.700000000,0.522964100,-0.001305376
0.800000000,0.517822654,-0.006446144
0.900000000,0.512681208,-0.001305376
1.000000000,0.517822654,-0.006446144
1.100000000,0.522964100,-0.006446144
1.200000000,0.522964100,-0.006446144
1.300000000,0.517822654,-0.006446144
1.400000000,0.522964100,0.003835392
1.500000000,0.517822654,-0.006446144
1.600000000,0.522964100,-0.001305376
1.700000000,0.517822654,-0.001305376
1.800000000,0.522964100,-0.011586912
1.900000000,0.512681208,-0.011586912
2.000000000,0.522964100,-0.011586912
2.100000000,0.517822654,-0.001305376
2.200000000,0.522964100,-0.001305376
2.300000000,0.517822654,-0.011586912
2.400000000,0.517822654,-0.006446144
2.500000000,0.517822654,-0.011586912
2.600000000,0.522964100,-0.006446144
2.700000000,0.517822654,-0.006446144
2.800000000,0.517822654,-0.006446144
2.900000000,0.517822654,-0.011586912
3.000000000,0.522964100,-0.001305376
3.100000000,0.517822654,-0.001305376
3.200000000,0.517822654,-0.006446144
3.300000000,0.522964100,-0.011586912
3.400000000,0.512681208,-0.006446144
3.500000000,0.517822654,-0.011586912
3.600000000,0.517822654,-0.006446144
3.700000000,0.517822654,-0.006446144
3.800000000,0.517822654,-0.011586912
3.900000000,0.522964100,-0.006446144
4.000000000,0.522964100,-0.011586912
4.100000000,0.517822654,-0.001305376
4.200000000,0.517822654,-0.011586912
4.300000000,0.517822654,-0.011586912
4.400000000,0.512681208,-0.006446144
4.500000000,0.522964100,-0.006446144
4.600000000,0.517822654,-0.006446144
4.700000000,0.517822654,-0.011586912
4.800000000,0.512681208,-0.006446144
4.900000000,0.517822654,-0.011586912
5.000000000,0.507539762,-0.011586912
5.100000000,0.512681208,-0.006446144
5.200000000,0.522964100,-0.006446144
5.300000000,0.517822654,-0.016727680
5.400000000,0.517822654,-0.011586912
5.500000000,0.517822654,-0.016727680
5.600000000,0.517822654,-0.011586912
5.700000000,0.517822654,-0.011586912
5.800000000,0.512681208,-0.011586912
5.900000000,0.517822654,-0.011586912
6.000000000,0.517822654,-0.011586912
6.100000000,0.517822654,-0.016727680
6.200000000,0.517822654,-0.016727680
6.300000000,0.522964100,-0.011586912
6.400000000,0.517822654,-0.011586912
6.500000000,0.517822654,-0.011586912
6.600000000,0.522964100,-0.011586912
6.700000000,0.517822654,-0.006446144
6.800000000,0.517822654,-0.011586912
6.900000000,0.522964100,-0.006446144
7.000000000,0.528105546,-0.006446144
7.100000000,0.512681208,-0.001305376
7.200000000,0.522964100,-0.006446144
7.300000000,0.517822654,-0.001305376
7.400000000,0.517822654,-0.006446144
7.500000000,0.522964100,-0.011586912
7.600000000,0.517822654,-0.001305376
7.700000000,0.512681208,-0.006446144
7.800000000,0.517822654,-0.011586912
7.900000000,0.517822654,-0.016727680
8.000000000,0.517822654,-0.016727680
8.100000000,0.517822654,-0.016727680
8.200000000,0.507539762,-0.011586912
8.300000000,0.512681208,-0.011586912
8.400000000,0.517822654,-0.011586912
8.500000000,0.522964100,-0.016727680
8.600000000,0.512681208,-0.016727680
8.700000000,0.512681208,-0.011586912
8.800000000,0.517822654,-0.016727680
8.900000000,0.512681208,-0.016727680
9.000000000,0.512681208,-0.011586912
9.100000000,0.522964100,-0.011586912
9.200000000,0.522964100,-0.011586912
9.300000000,0.517822654,-0.016727680
9.400000000,0.517822654,-0.011586912
9.500000000,0.517822654,-0.016727680
9.600000000,0.507539762,-0.016727680
9.700000000,0.517822654,-0.016727680
9.800000000,0.512681208,-0.016727680
9.900000000,0.528105546,-0.016727680
10.000000000,0.517822654,-0.011586912
10.100000000,0.512681208,-0.001305376
10.200000000,0.517822654,-0.011586912
10.300000000,0.517822654,-0.006446144
10.400000000,0.512681208,-0.011586912
10.500000000,0.512681208,-0.011586912
10.600000000,0.522964100,-0.006446144
10.700000000,0.512681208,-0.011586912
10.800000000,0.517822654,-0.011586912
10.900000000,0.517822654,-0.006446144
11.000000000,0.522964100,-0.011586912
11.100000000,0.522964100,-0.011586912
11.200000000,0.517822654,-0.011586912
11.300000000,0.517822654,-0.011586912
11.400000000,0.522964100,-0.011586912
11.500000000,0.517822654,-0.011586912
11.600000000,0.517822654,-0.011586912
11.700000000,0.517822654,-0.006446144
11.800000000,0.522964100,-0.011586912
11.900000000,0.517822654,-0.011586912
12.000000000,0.512681208,-0.006446144
12.100000000,0.512681208,-0.006446144
12.200000000,0.512681208,-0.001305376
12.300000000,0.517822654,-0.006446144
12.400000000,0.512681208,-0.006446144
12.500000000,0.517822654,-0.001305376
12.600000000,0.517822654,-0.001305376
12.700000000,0.517822654,-0.001305376
12.800000000,0.507539762,-0.006446144
12.900000000,0.517822654,-0.011586912
13.000000000,0.522964100,-0.011586912
13.100000000,0.528105546,-0.006446144
13.200000000,0.522964100,-0.006446144
13.300000000,0.512681208,-0.006446144
13.400000000,0.517822654,-0.006446144
13.500000000,0.512681208,-0.006446144
13.600000000,0.517822654,-0.006446144
13.700000000,0.517822654,-0.011586912
13.800000000,0.522964100,-0.006446144
13.900000000,0.517822654,-0.001305376
14.000000000,0.517822654,-0.006446144
14.100000000,0.522964100,-0.006446144
14.200000000,0.522964100,-0.006446144
14.300000000,0.517822654,0.003835392
14.400000000,0.517822654,-0.001305376
14.500000000,0.512681208,-0.006446144
14.600000000,0.522964100,-0.001305376
14.700000000,0.517822654,-0.001305376
14.800000000,0.522964100,-0.001305376
14.900000000,0.522964100,-0.001305376
15.000000000,0.517822654,-0.006446144
15.100000000,0.517822654,-0.006446144
15.200000000,0.522964100,-0.001305376
15.300000000,0.522964100,-0.001305376
15.400000000,0.512681208,-0.001305376
15.500000000,0.517822654,-0.006446144
15.600000000,0.512681208,-0.001305376
15.700000000,0.522964100,-0.001305376
15.800000000,0.512681208,0.003835392
15.900000000,0.517822654,-0.001305376
16.000000000,0.517822654,-0.001305376
16.100000000,0.522964100,-0.006446144
16.200000000,0.517822654,-0.011586912
16.300000000,0.512681208,-0.006446144
16.400000000,0.517822654,-0.006446144
16.500000000,0.522964100,-0.006446144
16.600000000,0.522964100,-0.006446144
16.700000000,0.522964100,-0.006446144
16.800000000,0.517822654,-0.001305376
16.900000000,0.522964100,-0.006446144
17.000000000,0.522964100,-0.001305376
17.100000000,0.522964100,-0.006446144
17.200000000,0.522964100,-0.001305376
17.300000000,0.522964100,-0.001305376
17.400000000,0.517822654,-0.006446144
17.500000000,0.517822654,-0.006446144
17.600000000,0.517822654,-0.006446144
17.700000000,0.517822654,-0.006446144
17.800000000,0.517822654,-0.006446144
17.900000000,0.528105546,-0.006446144
18.000000000,0.517822654,-0.001305376
