# 2023-04-06, 16:39:39.168278
# fs = 10 Hz, N = 800
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,0.517822654,0.528193728
0.100000000,0.528105546,0.523052960
0.200000000,0.522964100,0.533334496
0.300000000,0.517822654,0.528193728
0.400000000,0.528105546,0.528193728
0.500000000,0.522964100,0.533334496
0.600000000,0.522964100,0.523052960
0.700000000,0.522964100,0.528193728
0.800000000,0.522964100,0.528193728
0.900000000,0.522964100,0.528193728
1.000000000,0.528105546,0.528193728
1.100000000,0.517822654,0.523052960
1.200000000,0.517822654,0.528193728
1.300000000,0.522964100,0.538475264
1.400000000,0.517822654,0.528193728
1.500000000,0.517822654,0.528193728
1.600000000,0.517822654,0.528193728
1.700000000,0.517822654,0.528193728
1.800000000,0.533246992,0.528193728
1.900000000,0.522964100,0.528193728
2.000000000,0.522964100,0.523052960
2.100000000,0.528105546,0.523052960
2.200000000,0.517822654,0.528193728
2.300000000,0.528105546,0.528193728
2.400000000,0.522964100,0.528193728
2.500000000,0.522964100,0.528193728
2.600000000,0.528105546,0.533334496
2.700000000,0.517822654,0.528193728
2.800000000,0.522964100,0.533334496
2.900000000,0.517822654,0.523052960
3.000000000,0.522964100,0.523052960
3.100000000,0.522964100,0.523052960
3.200000000,0.522964100,0.528193728
3.300000000,0.517822654,0.528193728
3.400000000,0.522964100,0.528193728
3.500000000,0.528105546,0.528193728
3.600000000,0.528105546,0.528193728
3.700000000,0.512681208,0.528193728
3.800000000,0.512681208,0.528193728
3.900000000,0.528105546,0.517912192
4.000000000,0.522964100,0.533334496
4.100000000,0.528105546,0.528193728
4.200000000,0.522964100,0.523052960
4.300000000,0.522964100,0.528193728
4.400000000,0.517822654,0.523052960
4.500000000,0.528105546,0.523052960
4.600000000,0.522964100,0.517912192
4.700000000,0.522964100,0.523052960
4.800000000,0.522964100,0.523052960
4.900000000,0.522964100,0.523052960
5.000000000,0.522964100,0.533334496
5.100000000,0.517822654,0.517912192
5.200000000,0.528105546,0.528193728
5.300000000,0.522964100,0.523052960
5.400000000,0.517822654,0.523052960
5.500000000,0.528105546,0.528193728
5.600000000,0.517822654,0.517912192
5.700000000,0.522964100,0.523052960
5.800000000,0.522964100,0.523052960
5.900000000,0.522964100,0.517912192
6.000000000,0.528105546,0.517912192
6.100000000,0.517822654,0.517912192
6.200000000,0.522964100,0.528193728
6.300000000,0.528105546,0.523052960
6.400000000,0.522964100,0.523052960
6.500000000,0.522964100,0.528193728
6.600000000,0.517822654,0.517912192
6.700000000,0.517822654,0.523052960
6.800000000,0.528105546,0.517912192
6.900000000,0.517822654,0.523052960
7.000000000,0.522964100,0.517912192
7.100000000,0.528105546,0.512771424
7.200000000,0.517822654,0.517912192
7.300000000,0.528105546,0.512771424
7.400000000,0.522964100,0.517912192
7.500000000,0.517822654,0.512771424
7.600000000,0.522964100,0.507630656
7.700000000,0.517822654,0.512771424
7.800000000,0.517822654,0.512771424
7.900000000,0.528105546,0.517912192
